[*] Running ...
[*] Dataset loaded: /Users/yhr/Desktop/llm-workspace/llm-as-meta-optimizer/problems/tsp_constructive/dataset/val50_dataset.npy with 64 instances.
/Users/yhr/Desktop/llm-workspace/llm-as-meta-optimizer/problems/tsp_constructive/gpt.py:14: RuntimeWarning: invalid value encountered in divide
  node_distance = distance_matrix[current_node, node]
[*] Instance 0: 34.11031554374394
[*] Instance 1: 38.00063406290693
[*] Instance 2: 35.05854713955953
[*] Instance 3: 37.733892861068334
[*] Instance 4: 37.114424118855524
[*] Instance 5: 38.13778395115593
[*] Instance 6: 35.755090457197305
[*] Instance 7: 36.60841189866331
[*] Instance 8: 34.347983709075045
[*] Instance 9: 37.08477702697412
[*] Instance 10: 38.15611765704384
[*] Instance 11: 35.815405838135796
[*] Instance 12: 33.887885272774064
[*] Instance 13: 38.2848344117607
[*] Instance 14: 34.67676464273057
[*] Instance 15: 36.569752055816664
[*] Instance 16: 33.86648313476454
[*] Instance 17: 34.55074936746221
[*] Instance 18: 42.035643837166646
[*] Instance 19: 36.93184984582559
[*] Instance 20: 32.66249040209673
[*] Instance 21: 37.294689036190945
[*] Instance 22: 37.79106787275781
[*] Instance 23: 37.39801905211603
[*] Instance 24: 34.94903178326444
[*] Instance 25: 37.672426895600616
[*] Instance 26: 34.0131885036006
[*] Instance 27: 35.9928123657941
[*] Instance 28: 33.90836851750199
[*] Instance 29: 38.21865842945841
[*] Instance 30: 34.97831760997433
[*] Instance 31: 34.37242762263168
[*] Instance 32: 33.4675453584448
[*] Instance 33: 34.5825037438391
[*] Instance 34: 36.72537727635507
[*] Instance 35: 38.6611413993026
[*] Instance 36: 36.57902319683631
[*] Instance 37: 33.670341597704855
[*] Instance 38: 32.507340765142835
[*] Instance 39: 36.474887796747666
[*] Instance 40: 36.584088369605254
[*] Instance 41: 35.555057755461014
[*] Instance 42: 35.42031903065205
[*] Instance 43: 31.44363236456842
[*] Instance 44: 38.05867254316334
[*] Instance 45: 36.44513603586832
[*] Instance 46: 36.365594145803726
[*] Instance 47: 35.84899433825289
[*] Instance 48: 36.59561443533779
[*] Instance 49: 35.603898594463885
[*] Instance 50: 32.84438000915919
[*] Instance 51: 39.71289253593181
[*] Instance 52: 36.02387115631559
[*] Instance 53: 35.72110685511767
[*] Instance 54: 36.08051335794115
[*] Instance 55: 38.38448120229848
[*] Instance 56: 37.81421363917444
[*] Instance 57: 34.71824383717514
[*] Instance 58: 34.572914648838484
[*] Instance 59: 33.30600040229419
[*] Instance 60: 34.1248931987364
[*] Instance 61: 38.75229215932237
[*] Instance 62: 36.81030625400072
[*] Instance 63: 36.11878084251187
[*] Average:
35.99301412140681
