[*] Running ...
[*] Dataset loaded: /Users/yhr/Desktop/llm-workspace/llm-as-meta-optimizer/problems/tsp_constructive/dataset/val50_dataset.npy with 64 instances.
/Users/yhr/Desktop/llm-workspace/llm-as-meta-optimizer/problems/tsp_constructive/gpt.py:13: RuntimeWarning: invalid value encountered in scalar divide
  unvisited_nodes : set
[*] Instance 0: 33.859771138210206
[*] Instance 1: 37.58679251491683
[*] Instance 2: 34.7545108128441
[*] Instance 3: 37.34278776848385
[*] Instance 4: 37.03698963033965
[*] Instance 5: 36.5332451379728
[*] Instance 6: 35.53988898300808
[*] Instance 7: 35.84379157350751
[*] Instance 8: 34.49478601603998
[*] Instance 9: 37.008458048158154
[*] Instance 10: 38.494147836641794
[*] Instance 11: 35.67142664004992
[*] Instance 12: 33.18005563673089
[*] Instance 13: 38.39395795797937
[*] Instance 14: 33.94707313774942
[*] Instance 15: 36.23475694339209
[*] Instance 16: 33.58752539192505
[*] Instance 17: 33.87007921972534
[*] Instance 18: 40.3468147684438
[*] Instance 19: 35.77492859751245
[*] Instance 20: 32.82444115362995
[*] Instance 21: 36.71931555730786
[*] Instance 22: 36.001131826260064
[*] Instance 23: 36.6943830594289
[*] Instance 24: 34.54852851444145
[*] Instance 25: 36.32910749382005
[*] Instance 26: 33.60803263483182
[*] Instance 27: 35.40378021960149
[*] Instance 28: 32.7350177816802
[*] Instance 29: 35.929372092161415
[*] Instance 30: 33.06977794723421
[*] Instance 31: 33.27041587665477
[*] Instance 32: 33.54279629863188
[*] Instance 33: 33.40999565455873
[*] Instance 34: 36.46429031029391
[*] Instance 35: 38.082388655910265
[*] Instance 36: 35.199035227477054
[*] Instance 37: 33.29132021599003
[*] Instance 38: 32.10922989157516
[*] Instance 39: 36.23179437470522
[*] Instance 40: 36.26294875947096
[*] Instance 41: 35.003928031641124
[*] Instance 42: 34.273664512170214
[*] Instance 43: 30.859049227679428
[*] Instance 44: 37.02567667771243
[*] Instance 45: 36.03061860854242
[*] Instance 46: 35.77602387549161
[*] Instance 47: 34.64114234004585
[*] Instance 48: 36.42669313390979
[*] Instance 49: 35.516725344629315
[*] Instance 50: 30.21900547799683
[*] Instance 51: 39.49585348174262
[*] Instance 52: 35.48340513871425
[*] Instance 53: 34.90728869294195
[*] Instance 54: 35.88511538877385
[*] Instance 55: 36.677121214581824
[*] Instance 56: 37.745228934522956
[*] Instance 57: 33.8831878318085
[*] Instance 58: 34.36308463236775
[*] Instance 59: 33.327133794389184
[*] Instance 60: 33.966074224323634
[*] Instance 61: 38.8724449611817
[*] Instance 62: 36.69780796388379
[*] Instance 63: 35.16944891470847
[*] Average:
35.36679083911025
