[*] Running ...
[*] Dataset loaded: /Users/yhr/Desktop/llm-workspace/llm-as-meta-optimizer/problems/tsp_constructive/dataset/val50_dataset.npy with 64 instances.
/Users/yhr/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3464: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/Users/yhr/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:192: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
[*] Instance 0: 8.206050955097025
[*] Instance 1: 8.669476636187262
[*] Instance 2: 8.689886684816404
[*] Instance 3: 8.882412948387318
[*] Instance 4: 9.646648917552424
[*] Instance 5: 8.83376894065964
[*] Instance 6: 8.458094848911994
[*] Instance 7: 9.079045628141683
[*] Instance 8: 8.163142770503507
[*] Instance 9: 8.244168256457593
[*] Instance 10: 8.650057140396612
[*] Instance 11: 7.499218946881409
[*] Instance 12: 7.124655796576363
[*] Instance 13: 8.711802350356841
[*] Instance 14: 9.17217297220504
[*] Instance 15: 9.731316906335529
[*] Instance 16: 7.70325880145783
[*] Instance 17: 7.294791154205543
[*] Instance 18: 9.496315111828952
[*] Instance 19: 10.644377669611584
[*] Instance 20: 8.532848751980842
[*] Instance 21: 8.346153265292541
[*] Instance 22: 8.011795481693463
[*] Instance 23: 7.354482205795776
[*] Instance 24: 8.25485145410009
[*] Instance 25: 7.865295431652138
[*] Instance 26: 9.368580622441858
[*] Instance 27: 8.983815311319614
[*] Instance 28: 8.564534387077773
[*] Instance 29: 8.994929196276876
[*] Instance 30: 8.085814088295098
[*] Instance 31: 8.250579848168115
[*] Instance 32: 8.669296644788172
[*] Instance 33: 8.40570665338965
[*] Instance 34: 8.858956592639116
[*] Instance 35: 8.333352227488476
[*] Instance 36: 8.590237998433086
[*] Instance 37: 9.94879310454533
[*] Instance 38: 8.272975169966431
[*] Instance 39: 8.27288099920254
[*] Instance 40: 7.8434509145880424
[*] Instance 41: 8.777042983896074
[*] Instance 42: 9.021398509827042
[*] Instance 43: 8.702422237638118
[*] Instance 44: 7.843268342643943
[*] Instance 45: 8.787267830165618
[*] Instance 46: 8.899148235845274
[*] Instance 47: 9.792183626453983
[*] Instance 48: 8.000642474416491
[*] Instance 49: 11.326150988833337
[*] Instance 50: 9.042968816313799
[*] Instance 51: 8.936761805936005
[*] Instance 52: 9.633285254953378
[*] Instance 53: 7.955664296945087
[*] Instance 54: 9.450201278570425
[*] Instance 55: 8.773339701986492
[*] Instance 56: 10.048543334200156
[*] Instance 57: 7.986520673769124
[*] Instance 58: 8.139934634186083
[*] Instance 59: 7.420705798263863
[*] Instance 60: 11.121452466423912
[*] Instance 61: 8.189267215750283
[*] Instance 62: 8.327311216623688
[*] Instance 63: 7.1381073784931495
[*] Average:
8.656618482622514
